Entity ID,Acquisition Date,Mission,Frame Number,Image Type,Camera,Camera Resolution,Film Type,Generation,Polarity,Operations Number,Download Available,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
D3C1205-300376A043,1973/04/13,1205-3,43,Black and White,A,2 to 4 feet,6,2,Negative,376,,26°23'13.20"N,49°54'03.60"E,26°39'14.40"N,48°34'44.40"E,26°19'19.20"N,51°31'30"E,26°10'30"N,51°30'36"E,26°20'13.20"N,48°40'08.40"E,26.387,49.901,26.654,48.579,26.322,51.525,26.175,51.51,26.337,48.669,D3C1205-300376A043
D3C1205-300376A044,1973/04/13,1205-3,44,Black and White,A,2 to 4 feet,6,2,Negative,376,,26°14'52.80"N,49°52'37.20"E,26°30'54"N,48°33'25.20"E,26°10'58.80"N,51°30'00"E,26°02'09.60"N,51°29'02.40"E,26°11'52.80"N,48°38'49.20"E,26.248,49.877,26.515,48.557,26.183,51.5,26.036,51.484,26.198,48.647,D3C1205-300376A044
D3C1205-300376A045,1973/04/13,1205-3,45,Black and White,A,2 to 4 feet,6,2,Negative,376,,26°06'32.40"N,49°51'14.40"E,26°22'30"N,48°32'02.40"E,26°02'38.40"N,51°28'26.40"E,25°53'49.20"N,51°27'32.40"E,26°03'32.40"N,48°37'26.40"E,26.109,49.854,26.375,48.534,26.044,51.474,25.897,51.459,26.059,48.624,D3C1205-300376A045
D3C1205-300376A046,1973/04/13,1205-3,46,Black and White,A,2 to 4 feet,6,2,Negative,376,,25°58'08.40"N,49°49'48"E,26°14'09.60"N,48°30'43.20"E,25°54'14.40"N,51°26'56.40"E,25°45'25.20"N,51°25'58.80"E,25°55'08.40"N,48°36'07.20"E,25.969,49.83,26.236,48.512,25.904,51.449,25.757,51.433,25.919,48.602,D3C1205-300376A046
D3C1205-300376A047,1973/04/13,1205-3,47,Black and White,A,2 to 4 feet,6,2,Negative,376,,25°49'48"N,49°48'25.20"E,26°05'45.60"N,48°29'24"E,25°45'54"N,51°25'22.80"E,25°37'04.80"N,51°24'28.80"E,25°46'48"N,48°34'44.40"E,25.83,49.807,26.096,48.49,25.765,51.423,25.618,51.408,25.78,48.579,D3C1205-300376A047
D3C1205-300376A048,1973/04/13,1205-3,48,Black and White,A,2 to 4 feet,6,2,Negative,376,,25°41'20.40"N,49°46'55.20"E,25°57'21.60"N,48°28'01.20"E,25°37'30"N,51°23'52.80"E,25°28'40.80"N,51°22'55.20"E,25°38'20.40"N,48°33'25.20"E,25.689,49.782,25.956,48.467,25.625,51.398,25.478,51.382,25.639,48.557,D3C1205-300376A048
D3C1205-300376A049,1973/04/13,1205-3,49,Black and White,A,2 to 4 feet,6,2,Negative,376,,25°32'52.80"N,49°45'28.80"E,25°48'54"N,48°26'42"E,25°29'02.40"N,51°22'19.20"E,25°20'13.20"N,51°21'25.20"E,25°29'52.80"N,48°32'02.40"E,25.548,49.758,25.815,48.445,25.484,51.372,25.337,51.357,25.498,48.534,D3C1205-300376A049
D3C1205-300376F042,1973/04/13,1205-3,42,Black and White,F,2 to 4 feet,6,2,Negative,376,,26°27'14.40"N,49°56'31.20"E,26°43'15.60"N,48°44'42"E,26°22'40.80"N,51°34'08.40"E,26°13'55.20"N,51°32'52.80"E,26°25'22.80"N,48°35'42"E,26.454,49.942,26.721,48.745,26.378,51.569,26.232,51.548,26.423,48.595,D3C1205-300376F042
D3C1205-300376F043,1973/04/13,1205-3,43,Black and White,F,2 to 4 feet,6,2,Negative,376,,26°18'50.40"N,49°55'12"E,26°34'51.60"N,48°43'19.20"E,26°14'20.40"N,51°32'34.80"E,26°05'31.20"N,51°31'22.80"E,26°17'02.40"N,48°34'22.80"E,26.314,49.92,26.581,48.722,26.239,51.543,26.092,51.523,26.284,48.573,D3C1205-300376F043
D3C1205-300376F044,1973/04/13,1205-3,44,Black and White,F,2 to 4 feet,6,2,Negative,376,,26°10'30"N,49°53'42"E,26°26'31.20"N,48°42'00"E,26°05'56.40"N,51°31'04.80"E,25°57'10.80"N,51°29'49.20"E,26°08'38.40"N,48°33'03.60"E,26.175,49.895,26.442,48.7,26.099,51.518,25.953,51.497,26.144,48.551,D3C1205-300376F044
D3C1205-300376F045,1973/04/13,1205-3,45,Black and White,F,2 to 4 feet,6,2,Negative,376,,26°02'09.60"N,49°52'19.20"E,26°18'07.20"N,48°40'37.20"E,25°57'36"N,51°29'31.20"E,25°48'50.40"N,51°28'19.20"E,26°00'18"N,48°31'40.80"E,26.036,49.872,26.302,48.677,25.96,51.492,25.814,51.472,26.005,48.528,D3C1205-300376F045
D3C1205-300376F046,1973/04/13,1205-3,46,Black and White,F,2 to 4 feet,6,2,Negative,376,,25°53'45.60"N,49°50'56.40"E,26°09'46.80"N,48°39'18"E,25°49'15.60"N,51°28'01.20"E,25°40'26.40"N,51°26'45.60"E,25°51'54"N,48°30'21.60"E,25.896,49.849,26.163,48.655,25.821,51.467,25.674,51.446,25.865,48.506,D3C1205-300376F046
D3C1205-300376F047,1973/04/13,1205-3,47,Black and White,F,2 to 4 feet,6,2,Negative,376,,25°45'21.60"N,49°49'22.80"E,26°01'22.80"N,48°37'55.20"E,25°40'51.60"N,51°26'27.60"E,25°32'06"N,51°25'15.60"E,25°43'30"N,48°29'02.40"E,25.756,49.823,26.023,48.632,25.681,51.441,25.535,51.421,25.725,48.484,D3C1205-300376F047
D3C1205-300376F048,1973/04/13,1205-3,48,Black and White,F,2 to 4 feet,6,2,Negative,376,,25°37'01.20"N,49°48'03.60"E,25°53'02.40"N,48°36'36"E,25°32'31.20"N,51°24'57.60"E,25°23'42"N,51°23'45.60"E,25°35'09.60"N,48°27'43.20"E,25.617,49.801,25.884,48.61,25.542,51.416,25.395,51.396,25.586,48.462,D3C1205-300376F048
D3C1209-300444A002,1975/01/05,1209-3,2,Black and White,A,2 to 4 feet,6,2,Negative,444,,25°36'54"N,51°53'52.80"E,25°49'33.60"N,50°50'34.80"E,25°39'21.60"N,52°52'04.80"E,25°21'43.20"N,52°42'36"E,25°39'21.60"N,50°48'03.60"E,25.615,51.898,25.826,50.843,25.656,52.868,25.362,52.71,25.656,50.801,D3C1209-300444A002
D3C1209-300444A003,1975/01/05,1209-3,3,Black and White,A,2 to 4 feet,6,2,Negative,444,,25°28'22.80"N,51°52'01.20"E,25°41'02.40"N,50°48'46.80"E,25°30'50.40"N,52°50'09.60"E,25°13'12"N,52°40'40.80"E,25°30'50.40"N,50°46'15.60"E,25.473,51.867,25.684,50.813,25.514,52.836,25.22,52.678,25.514,50.771,D3C1209-300444A003
D3C1209-300444F001,1975/01/05,1209-3,1,Black and White,F,2 to 4 feet,6,2,Negative,444,,25°41'20.40"N,51°29'02.40"E,25°53'16.80"N,50°39'21.60"E,25°43'26.40"N,52°11'09.60"E,25°27'21.60"N,52°12'54"E,25°43'26.40"N,50°38'38.40"E,25.689,51.484,25.888,50.656,25.724,52.186,25.456,52.215,25.724,50.644,D3C1209-300444F001
D3C1209-300444F002,1975/01/05,1209-3,2,Black and White,F,2 to 4 feet,6,2,Negative,444,,25°28'55.20"N,51°54'03.60"E,25°43'19.20"N,50°50'06"E,25°31'08.40"N,52°45'28.80"E,25°11'42"N,52°48'57.60"E,25°32'49.20"N,50°49'33.60"E,25.482,51.901,25.722,50.835,25.519,52.758,25.195,52.816,25.547,50.826,D3C1209-300444F002
D3C1209-300444F003,1975/01/05,1209-3,3,Black and White,F,2 to 4 feet,6,2,Negative,444,,25°20'24"N,51°52'19.20"E,25°34'44.40"N,50°48'18"E,25°22'37.20"N,52°43'37.20"E,25°03'10.80"N,52°47'06"E,25°24'18"N,50°47'49.20"E,25.34,51.872,25.579,50.805,25.377,52.727,25.053,52.785,25.405,50.797,D3C1209-300444F003
D3C1213-100017A008,1977/06/30,1213-1,8,Black and White,A,2 to 4 feet,6,2,Negative,17,,26°25'33.60"N,49°44'27.60"E,26°36'10.80"N,49°08'38.40"E,26°25'58.80"N,50°24'14.40"E,26°16'26.40"N,50°23'27.60"E,26°22'40.80"N,49°09'43.20"E,26.426,49.741,26.603,49.144,26.433,50.404,26.274,50.391,26.378,49.162,D3C1213-100017A008
D3C1213-100017A009,1977/06/30,1213-1,9,Black and White,A,2 to 4 feet,6,2,Negative,17,,26°16'48"N,49°42'43.20"E,26°27'25.20"N,49°06'54"E,26°17'13.20"N,50°22'22.80"E,26°07'40.80"N,50°21'39.60"E,26°13'58.80"N,49°07'58.80"E,26.28,49.712,26.457,49.115,26.287,50.373,26.128,50.361,26.233,49.133,D3C1213-100017A009
D3C1213-100017A010,1977/06/30,1213-1,10,Black and White,A,2 to 4 feet,6,2,Negative,17,,26°08'02.40"N,49°40'55.20"E,26°18'39.60"N,49°05'09.60"E,26°08'27.60"N,50°20'31.20"E,25°58'55.20"N,50°19'48"E,26°05'13.20"N,49°06'10.80"E,26.134,49.682,26.311,49.086,26.141,50.342,25.982,50.33,26.087,49.103,D3C1213-100017A010
D3C1213-100017A011,1977/06/30,1213-1,11,Black and White,A,2 to 4 feet,6,2,Negative,17,,25°59'16.80"N,49°39'07.20"E,26°09'54"N,49°03'21.60"E,25°59'42"N,50°18'43.20"E,25°50'09.60"N,50°17'56.40"E,25°56'27.60"N,49°04'26.40"E,25.988,49.652,26.165,49.056,25.995,50.312,25.836,50.299,25.941,49.074,D3C1213-100017A011
D3C1213-100017A012,1977/06/30,1213-1,12,Black and White,A,2 to 4 feet,6,2,Negative,17,,25°50'31.20"N,49°37'19.20"E,26°01'08.40"N,49°01'37.20"E,25°50'56.40"N,50°16'51.60"E,25°41'24"N,50°16'08.40"E,25°47'42"N,49°02'42"E,25.842,49.622,26.019,49.027,25.849,50.281,25.69,50.269,25.795,49.045,D3C1213-100017A012
D3C1213-100017F007,1977/06/30,1213-1,7,Black and White,F,2 to 4 feet,6,2,Negative,17,,26°30'28.80"N,49°47'24"E,26°41'13.20"N,49°14'34.80"E,26°30'25.20"N,50°27'43.20"E,26°21'00"N,50°25'40.80"E,26°28'22.80"N,49°09'50.40"E,26.508,49.79,26.687,49.243,26.507,50.462,26.35,50.428,26.473,49.164,D3C1213-100017F007
D3C1213-100017F008,1977/06/30,1213-1,8,Black and White,F,2 to 4 feet,6,2,Negative,17,,26°21'43.20"N,49°45'39.60"E,26°32'27.60"N,49°12'46.80"E,26°21'39.60"N,50°25'55.20"E,26°12'14.40"N,50°23'49.20"E,26°19'37.20"N,49°08'06"E,26.362,49.761,26.541,49.213,26.361,50.432,26.204,50.397,26.327,49.135,D3C1213-100017F008
D3C1213-100017F009,1977/06/30,1213-1,9,Black and White,F,2 to 4 feet,6,2,Negative,17,,26°12'57.60"N,49°43'48"E,26°23'42"N,49°11'02.40"E,26°12'54"N,50°24'03.60"E,26°03'28.80"N,50°21'57.60"E,26°10'51.60"N,49°06'18"E,26.216,49.73,26.395,49.184,26.215,50.401,26.058,50.366,26.181,49.105,D3C1213-100017F009
D3C1213-100017F010,1977/06/30,1213-1,10,Black and White,F,2 to 4 feet,6,2,Negative,17,,26°04'12"N,49°42'03.60"E,26°14'56.40"N,49°09'18"E,26°04'08.40"N,50°22'12"E,25°54'43.20"N,50°20'09.60"E,26°02'06"N,49°04'33.60"E,26.07,49.701,26.249,49.155,26.069,50.37,25.912,50.336,26.035,49.076,D3C1213-100017F010
D3C1213-100017F011,1977/06/30,1213-1,11,Black and White,F,2 to 4 feet,6,2,Negative,17,,25°55'26.40"N,49°40'15.60"E,26°06'10.80"N,49°07'33.60"E,25°55'22.80"N,50°20'24"E,25°45'57.60"N,50°18'18"E,25°53'20.40"N,49°02'49.20"E,25.924,49.671,26.103,49.126,25.923,50.34,25.766,50.305,25.889,49.047,D3C1213-100017F011
D3C1213-100017F012,1977/06/30,1213-1,12,Black and White,F,2 to 4 feet,6,2,Negative,17,,25°46'40.80"N,49°38'27.60"E,25°57'25.20"N,49°05'45.60"E,25°46'37.20"N,50°18'32.40"E,25°37'12"N,50°16'30"E,25°44'34.80"N,49°01'04.80"E,25.778,49.641,25.957,49.096,25.777,50.309,25.62,50.275,25.743,49.018,D3C1213-100017F012
D3C1213-100017F013,1977/06/30,1213-1,13,Black and White,F,2 to 4 feet,6,2,Negative,17,,25°37'55.20"N,49°36'39.60"E,25°48'39.60"N,49°04'01.20"E,25°37'51.60"N,50°16'44.40"E,25°28'26.40"N,50°14'38.40"E,25°35'49.20"N,48°59'20.40"E,25.632,49.611,25.811,49.067,25.631,50.279,25.474,50.244,25.597,48.989,D3C1213-100017F013
D3C1213-200346A002,1977/08/27,1213-2,2,Black and White,A,2 to 4 feet,6,2,Negative,346,,26°17'06"N,51°17'24"E,26°28'48"N,50°19'48"E,26°15'54"N,52°16'33.60"E,26°05'31.20"N,52°13'51.60"E,26°18'03.60"N,50°19'40.80"E,26.285,51.29,26.48,50.33,26.265,52.276,26.092,52.231,26.301,50.328,D3C1213-200346A002
D3C1213-200346A003,1977/08/27,1213-2,3,Black and White,A,2 to 4 feet,6,2,Negative,346,1,26°08'20.40"N,51°15'32.40"E,26°20'02.40"N,50°18'00"E,26°07'08.40"N,52°14'38.40"E,25°56'45.60"N,52°11'56.40"E,26°09'18"N,50°17'52.80"E,26.139,51.259,26.334,50.3,26.119,52.244,25.946,52.199,26.155,50.298,D3C1213-200346A003
D3C1213-200346A004,1977/08/27,1213-2,4,Black and White,A,2 to 4 feet,6,2,Negative,346,,25°59'31.20"N,51°13'44.40"E,26°11'16.80"N,50°16'12"E,25°58'22.80"N,52°12'43.20"E,25°47'56.40"N,52°10'01.20"E,26°00'32.40"N,50°16'04.80"E,25.992,51.229,26.188,50.27,25.973,52.212,25.799,52.167,26.009,50.268,D3C1213-200346A004
D3C1213-200346A005,1977/08/27,1213-2,5,Black and White,A,2 to 4 feet,6,2,Negative,346,,25°50'49.20"N,51°11'45.60"E,26°02'34.80"N,50°14'24"E,25°49'37.20"N,52°10'48"E,25°39'14.40"N,52°08'06"E,25°51'46.80"N,50°14'16.80"E,25.847,51.196,26.043,50.24,25.827,52.18,25.654,52.135,25.863,50.238,D3C1213-200346A005
D3C1213-200346A006,1977/08/27,1213-2,6,Black and White,A,2 to 4 feet,6,2,Negative,346,,25°42'03.60"N,51°09'57.60"E,25°53'49.20"N,50°12'36"E,25°40'51.60"N,52°08'52.80"E,25°30'25.20"N,52°06'10.80"E,25°43'01.20"N,50°12'28.80"E,25.701,51.166,25.897,50.21,25.681,52.148,25.507,52.103,25.717,50.208,D3C1213-200346A006
D3C1213-200346A007,1977/08/27,1213-2,7,Black and White,A,2 to 4 feet,6,2,Negative,346,,25°33'18"N,51°08'06"E,25°45'03.60"N,50°10'48"E,25°32'06"N,52°06'57.60"E,25°21'39.60"N,52°04'19.20"E,25°34'15.60"N,50°10'40.80"E,25.555,51.135,25.751,50.18,25.535,52.116,25.361,52.072,25.571,50.178,D3C1213-200346A007
D3C1213-200346A008,1977/08/27,1213-2,8,Black and White,A,2 to 4 feet,6,2,Negative,346,,25°24'32.40"N,51°06'18"E,25°36'18"N,50°09'03.60"E,25°23'20.40"N,52°05'06"E,25°12'54"N,52°02'24"E,25°25'30"N,50°08'56.40"E,25.409,51.105,25.605,50.151,25.389,52.085,25.215,52.04,25.425,50.149,D3C1213-200346A008
D3C1213-200346F001,1977/08/27,1213-2,1,Black and White,F,2 to 4 feet,6,2,Negative,346,,26°22'44.40"N,51°05'02.40"E,26°35'52.80"N,50°09'39.60"E,26°19'55.20"N,52°05'09.60"E,26°09'50.40"N,52°04'19.20"E,26°24'43.20"N,50°06'10.80"E,26.379,51.084,26.598,50.161,26.332,52.086,26.164,52.072,26.412,50.103,D3C1213-200346F001
D3C1213-200346F002,1977/08/27,1213-2,2,Black and White,F,2 to 4 feet,6,2,Negative,346,,26°12'00"N,51°18'14.40"E,26°24'57.60"N,50°22'22.80"E,26°09'36"N,52°16'01.20"E,25°58'55.20"N,52°15'25.20"E,26°14'31.20"N,50°19'26.40"E,26.2,51.304,26.416,50.373,26.16,52.267,25.982,52.257,26.242,50.324,D3C1213-200346F002
D3C1213-200346F003,1977/08/27,1213-2,3,Black and White,F,2 to 4 feet,6,2,Negative,346,,26°03'14.40"N,51°16'22.80"E,26°16'12"N,50°20'34.80"E,26°00'50.40"N,52°14'06"E,25°50'09.60"N,52°13'30"E,26°05'45.60"N,50°17'38.40"E,26.054,51.273,26.27,50.343,26.014,52.235,25.836,52.225,26.096,50.294,D3C1213-200346F003
D3C1213-200346F004,1977/08/27,1213-2,4,Black and White,F,2 to 4 feet,6,2,Negative,346,,25°54'28.80"N,51°14'31.20"E,26°07'26.40"N,50°18'46.80"E,25°52'04.80"N,52°12'10.80"E,25°41'24"N,52°11'34.80"E,25°57'00"N,50°15'50.40"E,25.908,51.242,26.124,50.313,25.868,52.203,25.69,52.193,25.95,50.264,D3C1213-200346F004
D3C1213-200346F005,1977/08/27,1213-2,5,Black and White,F,2 to 4 feet,6,2,Negative,346,,25°45'43.20"N,51°12'39.60"E,25°58'40.80"N,50°16'58.80"E,25°43'19.20"N,52°10'15.60"E,25°32'38.40"N,52°09'39.60"E,25°48'14.40"N,50°14'02.40"E,25.762,51.211,25.978,50.283,25.722,52.171,25.544,52.161,25.804,50.234,D3C1213-200346F005
D3C1213-200346F006,1977/08/27,1213-2,6,Black and White,F,2 to 4 feet,6,2,Negative,346,,25°36'57.60"N,51°10'48"E,25°49'55.20"N,50°15'10.80"E,25°34'33.60"N,52°08'20.40"E,25°23'52.80"N,52°07'44.40"E,25°39'28.80"N,50°12'14.40"E,25.616,51.18,25.832,50.253,25.576,52.139,25.398,52.129,25.658,50.204,D3C1213-200346F006
